
,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
101,1993-94,NYK*,NBA,82,57,25,.695,19755,3098,6735,2782,5827,316,908,1564,2097,1175,2542,3717,2067,752,385,1360,2001,8076,6.99,-0.50,6.48,92.8,105.7,98.2,.483,15.1,34.4,0.232,.451,16.0,28.6,0.261
102,1994-95,ORL*,NBA,82,57,25,.695,19930,3460,6899,2937,5487,523,1412,1648,2465,1149,2457,3606,2281,672,488,1297,1726,9091,7.06,-0.62,6.44,95.1,115.1,107.8,.539,14.0,34.0,0.239,.490,13.3,31.6,0.220
103,1994-95,SEA*,NBA,82,57,25,.695,19830,3310,6741,2819,5436,491,1305,1944,2564,1068,2337,3405,2115,917,392,1295,2067,9055,8.18,-0.28,7.91,95.5,114.8,106.3,.527,14.1,32.6,0.288,.492,16.1,31.3,0.278
104,1996-97,HOU*,NBA,82,57,25,.695,19855,3037,6484,2366,4645,671,1839,1503,1992,927,2565,3492,2013,685,347,1365,1610,8248,4.48,-0.62,3.85,91.6,108.8,104.0,.520,15.6,28.4,0.232,.481,13.3,28.6,0.190
105,1996-97,NYK*,NBA,82,57,25,.695,19855,2882,6227,2412,4933,470,1294,1585,2119,973,2516,3489,1809,629,378,1462,2033,7819,3.12,0.18,3.31,90.5,104.4,101.0,.501,17.0,30.5,0.255,.463,15.4,26.6,0.279
106,1996-97,SEA*,NBA,82,57,25,.695,19780,2995,6415,2436,4832,559,1583,1725,2295,1010,2271,3281,1931,904,388,1231,1803,8274,7.68,-0.77,6.91,90.3,111.2,102.7,.510,14.2,30.9,0.269,.490,17.7,30.9,0.242
107,2001-02,DAL*,NBA,82,57,25,.695,19880,3200,6930,2579,5285,621,1645,1608,1994,918,2568,3486,1811,581,392,992,1842,8629,4.26,0.16,4.41,92.8,112.2,107.7,.507,11.3,26.1,0.232,.485,12.9,29.3,0.239
108,2003-04,SAS*,NBA,82,57,25,.695,19755,2842,6434,2434,5294,408,1140,1409,2069,1029,2669,3698,1676,661,537,1203,1667,7501,7.22,0.29,7.51,89.2,102.2,94.1,.473,14.1,29.5,0.219,.433,14.8,25.4,0.215
109,2007-08,LAL*,NBA,82,57,25,.695,19780,3248,6818,2586,5067,662,1751,1746,2270,898,2722,3620,2003,654,438,1156,1691,8904,7.26,0.09,7.34,95.6,113.0,105.5,.525,12.9,26.3,0.256,.485,12.9,26.6,0.214
