Season,Tm
2013-14,SAS
2012-13,MIA
2011-12,MIA
2010-11,DAL
2009-10,LAL
2008-09,LAL
2007-08,BOS
2006-07,SAS
2005-06,MIA
2004-05,SAS
2003-04,DET
2002-03,SAS
2001-02,LAL
2000-01,LAL
1999-00,LAL
1998-99,SAS
1997-98,CHI
1996-97,CHI
1995-96,CHI
1994-95,HOU
1993-94,HOU
1992-93,CHI
1991-92,CHI
1990-91,CHI
1989-90,DET
1988-89,DET
1987-88,LAL
1986-87,LAL
1985-86,BOS
1984-85,LAL
1983-84,BOS
1982-83,PHI
1981-82,LAL
1980-81,BOS
1979-80,LAL
1978-79,SEA
1977-78,WSB
1976-77,POR
1975-76,BOS
2013-14,MIA
2012-13,SAS
2011-12,OKC
2010-11,MIA
2009-10,BOS
2008-09,ORL
2007-08,LAL
2006-07,CLE
2005-06,DAL
2004-05,DET
2003-04,LAL
2002-03,NJN
2001-02,NJN
2000-01,PHI
1999-00,IND
1998-99,NYK
1997-98,UTA
1996-97,UTA
1995-96,SEA
1994-95,ORL
1993-94,NYK
1992-93,PHO
1991-92,POR
1990-91,LAL
1989-90,POR
1988-89,LAL
1987-88,DET
1986-87,BOS
1985-86,HOU
1984-85,BOS
1983-84,LAL
1982-83,LAL
1981-82,PHI
1980-81,HOU
1979-80,PHI
1978-79,WSB
1977-78,SEA
1976-77,PHI
1975-76,PHO
