
,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
901,1988-89,SAC,NBA,82,27,55,.329,19780,3362,7351,3055,6527,307,824,1620,2104,1141,2454,3595,1970,624,409,1370,1877,8651,-5.55,0.20,-5.35,100.5,104.5,110.0,.478,14.2,30.5,0.220,.496,13.2,32.3,0.235
902,1993-94,LAC,NBA,82,27,55,.329,19780,3343,7163,3091,6332,252,831,1509,2128,1120,2410,3530,2169,807,421,1474,1769,8447,-5.72,0.44,-5.28,99.6,102.9,108.6,.484,15.4,30.4,0.211,.494,14.0,35.9,0.213
903,1997-98,SAC,NBA,82,27,55,.329,19730,2957,6684,2674,5878,283,806,1440,2096,1094,2304,3398,1836,596,420,1271,1810,7637,-5.59,-0.24,-5.83,92.1,100.8,106.9,.464,14.3,30.2,0.215,.482,14.0,33.4,0.230
904,1998-99,NYK*,NBA,50,27,23,.540,12100,1610,3704,1402,3115,208,589,892,1218,551,1510,2061,963,395,262,804,1140,4320,1.02,0.43,1.45,86.9,98.6,97.5,.463,15.9,27.9,0.241,.434,14.9,29.0,0.258
905,1998-99,PHO*,NBA,50,27,23,.540,12050,1797,4004,1536,3302,261,702,924,1215,598,1418,2016,1249,444,200,681,1022,4779,2.26,-0.11,2.15,90.0,105.8,103.3,.481,13.0,28.4,0.231,.485,15.4,30.2,0.216
906,1998-99,SAC*,NBA,50,27,23,.540,12200,1918,4307,1628,3364,290,943,883,1293,706,1573,2279,1129,444,232,842,1016,5009,-0.42,-0.47,-0.89,96.0,102.7,103.1,.479,14.7,30.6,0.205,.471,13.7,32.3,0.176
907,2001-02,DEN,NBA,82,27,55,.329,19805,2915,6870,2492,5585,423,1285,1306,1756,1117,2310,3427,1817,613,462,1205,1873,7559,-5.82,0.63,-5.19,90.4,101.4,107.8,.455,13.6,30.6,0.190,.492,13.6,30.1,0.245
908,2002-03,LAC,NBA,82,27,55,.329,19755,2835,6490,2445,5312,390,1178,1633,2177,1008,2462,3470,1605,574,461,1291,1784,7693,-4.12,0.68,-3.44,91.3,102.3,106.8,.467,14.8,29.1,0.252,.481,13.1,29.8,0.222
909,2004-05,POR,NBA,82,27,55,.329,19730,2896,6422,2476,5261,420,1161,1409,1944,970,2404,3374,1722,583,544,1308,1703,7621,-4.00,0.55,-3.45,89.8,103.2,107.7,.484,15.2,29.6,0.219,.479,12.6,32.3,0.204
910,2005-06,TOR,NBA,82,27,55,.329,19955,3013,6639,2405,5019,608,1620,1653,2089,864,2291,3155,1593,529,272,1071,1965,8287,-2.99,-0.04,-3.03,91.1,109.5,112.7,.500,12.4,25.4,0.249,.530,13.5,26.7,0.263
911,2009-10,DET,NBA,82,27,55,.329,19780,2940,6602,2566,5412,374,1190,1455,1998,1053,2242,3295,1591,596,313,1100,1822,7709,-5.11,0.09,-5.02,88.5,105.6,111.4,.474,12.8,30.3,0.220,.526,14.2,26.6,0.264
912,2009-10,PHI,NBA,82,27,55,.329,19805,3087,6706,2613,5325,474,1381,1366,1808,941,2421,3362,1723,667,439,1192,1677,8014,-3.90,-0.02,-3.93,91.6,106.1,110.3,.496,13.7,27.6,0.204,.518,13.8,26.8,0.231
913,2012-13,NOH,NBA,82,27,55,.329,19780,2955,6589,2420,5115,535,1474,1269,1636,988,2426,3414,1721,520,440,1193,1673,7714,-3.87,0.75,-3.11,88.5,105.7,110.1,.489,14.0,29.2,0.193,.520,13.1,25.6,0.208
914,2013-14,LAL,NBA,82,27,55,.329,19705,3139,6980,2365,4948,774,2032,1390,1835,745,2620,3365,2006,611,446,1239,1627,8442,-6.29,0.96,-5.33,98.7,104.2,110.6,.505,13.7,20.2,0.199,.513,12.4,29.0,0.192
915,1978-79,NOJ,NBA,82,26,56,.317,19705,3517,7511,,,,,1848,2409,1234,2676,3910,2079,760,559,1764,1940,8882,-6.24,0.28,-5.97,108.6,99.6,105.4,.468,17.1,31.7,0.246,.481,15.1,35.7,0.207
916,1983-84,IND,NBA,82,26,56,.317,19780,3447,7130,3399,6923,48,207,1624,2119,1002,2398,3400,2169,834,398,1525,2061,8566,-4.82,0.57,-4.25,102.1,101.8,106.5,.487,15.9,28.1,0.228,.497,16.2,33.2,0.255
917,1985-86,IND,NBA,82,26,56,.317,19755,3441,7150,3418,7007,23,143,1614,2183,1138,2613,3751,2159,659,381,1515,2135,8519,-3.33,0.67,-2.66,100.9,102.6,105.9,.483,15.7,31.5,0.226,.479,13.7,28.7,0.277
918,1988-89,NJN,NBA,82,26,56,.317,19805,3333,7226,3146,6658,187,568,1653,2260,1204,2419,3623,1793,773,431,1449,1966,8506,-6.35,0.66,-5.69,100.1,103.0,109.3,.474,15.0,32.7,0.229,.508,14.4,29.9,0.244
919,1990-91,CHH,NBA,82,26,56,.317,19805,3286,7033,3155,6616,131,417,1725,2214,1027,2200,3227,2019,759,304,1290,1946,8428,-5.24,0.29,-4.95,97.3,105.0,110.4,.477,13.9,29.0,0.245,.504,15.0,34.3,0.272
920,1990-91,NJN,NBA,82,26,56,.317,19830,3311,7459,3150,6873,161,586,1658,2245,1400,2348,3748,1782,748,600,1423,1954,8441,-4.51,-0.02,-4.54,99.3,102.9,107.4,.455,14.4,35.7,0.222,.478,14.9,35.4,0.267
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
921,1992-93,PHI,NBA,82,26,56,.317,19930,3225,7075,2895,6134,330,941,1776,2259,1031,2431,3462,2038,672,566,1362,1604,8556,-5.77,0.51,-5.25,98.5,104.6,110.4,.479,14.4,28.1,0.251,.504,13.3,34.1,0.188
922,1994-95,GSW,NBA,82,26,56,.317,19905,3217,6873,2671,5271,546,1602,1687,2395,1101,2371,3472,2017,649,391,1497,1804,8667,-5.41,0.51,-4.91,97.9,106.7,112.2,.508,15.9,30.3,0.245,.522,13.9,33.5,0.216
923,1995-96,DAL,NBA,82,26,56,.317,19930,3124,7431,2389,5392,735,2039,1426,1975,1408,2379,3787,1913,642,342,1270,1836,8409,-4.90,0.19,-4.71,95.4,106.1,111.2,.470,13.3,34.1,0.192,.526,14.7,31.4,0.222
924,1995-96,MIN,NBA,82,26,56,.317,19780,2974,6481,2695,5624,279,857,1797,2314,985,2271,3256,1867,650,481,1426,1994,8024,-5.35,0.21,-5.14,93.5,104.1,109.8,.480,16.0,29.8,0.277,.509,15.0,31.3,0.267
925,1996-97,NJN,NBA,82,26,56,.317,19780,2994,7091,2510,5720,484,1371,1502,2031,1410,2376,3786,1726,677,481,1290,1865,7974,-4.56,0.67,-3.89,92.4,104.7,109.7,.456,13.9,36.4,0.212,.503,14.1,31.0,0.244
926,1998-99,CHH,NBA,50,26,24,.520,12150,1671,3718,1403,2983,268,735,1034,1384,480,1493,1973,1110,443,247,796,1101,4644,-0.10,0.73,0.63,89.7,102.3,102.4,.485,15.5,24.4,0.278,.461,14.3,30.5,0.240
927,2000-01,NJN,NBA,82,26,56,.317,19730,2781,6550,2420,5466,361,1084,1629,2146,909,2337,3246,1603,649,407,1208,1982,7552,-5.05,-0.25,-5.30,91.8,100.0,105.5,.452,13.9,25.7,0.249,.488,14.9,30.0,0.258
928,2004-05,UTA,NBA,82,26,56,.317,19780,2828,6301,2578,5539,250,762,1719,2272,1047,2243,3290,1826,541,374,1292,2189,7625,-4.27,0.53,-3.74,88.4,104.7,109.5,.469,15.0,31.9,0.273,.499,14.2,27.7,0.340
929,2005-06,ATL,NBA,82,26,56,.317,19880,2946,6496,2522,5342,424,1154,1656,2207,1069,2232,3301,1625,587,394,1284,2054,7972,-4.76,0.07,-4.69,90.4,106.4,111.6,.486,14.7,31.4,0.255,.513,14.1,30.5,0.275
930,2005-06,CHA,NBA,82,26,56,.317,19905,2961,6843,2533,5582,428,1261,1593,2186,990,2270,3260,1717,822,354,1167,1960,7943,-4.00,0.10,-3.90,93.4,102.5,106.7,.464,13.0,27.1,0.233,.514,16.5,29.3,0.263
931,2007-08,MIL,NBA,82,26,56,.317,19855,3026,6745,2574,5432,452,1313,1452,1980,1055,2363,3418,1760,544,361,1210,1748,7956,-6.89,-0.02,-6.91,91.3,105.3,112.8,.482,13.7,30.0,0.215,.524,13.0,27.0,0.250
932,2009-10,GSW,NBA,82,26,56,.317,19730,3329,7094,2696,5407,633,1687,1631,2085,753,2397,3150,1839,761,340,1204,1886,8922,-3.60,0.32,-3.28,100.4,108.1,111.7,.514,13.1,20.9,0.230,.525,15.1,31.5,0.260
933,2009-10,WAS,NBA,82,26,56,.317,19830,3008,6700,2576,5475,432,1225,1444,1895,966,2458,3424,1557,493,421,1219,1752,7892,-4.78,0.07,-4.72,91.6,104.2,109.4,.481,13.9,27.6,0.216,.502,12.8,27.6,0.239
934,2011-12,MIN,NBA,66,26,40,.394,15940,2355,5434,1882,4011,473,1423,1281,1662,797,2089,2886,1290,436,293,1001,1212,6464,-2.20,0.37,-1.83,93.3,104.3,106.6,.477,14.0,27.5,0.236,.491,12.2,27.0,0.187
935,1973-74,PHI,NBA,82,25,57,.305,19730,3331,7702,,,,,1633,2118,1182,2626,3808,1799,756,220,1665,1964,8295,-6.37,0.42,-5.94,108.3,93.1,99.0,.432,16.2,27.6,0.212,.468,17.6,33.3,0.210
936,1981-82,UTA,NBA,82,25,57,.305,19780,3679,7446,3657,7349,22,97,1714,2282,1147,2362,3509,1895,700,357,1435,2196,9094,-5.66,0.03,-5.63,103.9,106.2,111.7,.496,14.5,30.6,0.230,.513,14.1,34.7,0.244
937,1982-83,SDC,NBA,82,25,57,.305,19830,3625,7634,3561,7372,64,262,1589,2195,1394,2108,3502,2087,820,408,1600,2284,8903,-4.83,0.22,-4.61,103.0,104.7,109.3,.479,15.7,37.1,0.208,.531,17.6,34.2,0.284
938,1990-91,SAC,NBA,82,25,57,.305,19705,3086,6818,2870,6240,216,578,1540,2105,1027,2218,3245,1991,631,513,1272,2075,7928,-6.78,0.50,-6.28,94.7,102.0,109.1,.468,14.1,28.8,0.226,.481,14.3,34.4,0.306
939,1991-92,WSB,NBA,82,25,57,.305,19855,3364,7301,3218,6764,146,537,1521,1956,1069,2345,3414,2011,713,422,1254,1852,8395,-4.46,0.11,-4.35,97.7,103.9,108.4,.471,13.3,28.9,0.208,.493,14.0,33.8,0.235
940,1992-93,SAC,NBA,82,25,57,.305,19780,3360,7264,3098,6476,262,788,1865,2447,1137,2281,3418,2075,768,348,1364,2085,8847,-3.17,0.17,-3.00,100.8,106.5,109.6,.481,14.1,30.7,0.257,.502,15.1,33.3,0.292
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
941,1993-94,PHI,NBA,82,25,57,.305,19805,3103,6819,2785,5877,318,942,1509,2112,1012,2394,3406,1827,663,525,1368,1488,8033,-7.62,0.25,-7.37,95.7,101.7,109.7,.478,15.0,28.0,0.221,.502,12.8,33.4,0.177
942,1995-96,MIL,NBA,82,25,57,.305,19730,3034,6490,2677,5434,357,1056,1412,1914,973,2164,3137,1755,582,307,1295,1943,7837,-5.30,0.38,-4.93,90.2,105.6,111.5,.495,15.0,29.7,0.218,.520,14.1,31.6,0.248
943,1998-99,MIN*,NBA,50,25,25,.500,12025,1838,4327,1716,3917,122,410,849,1143,754,1392,2146,1218,426,272,641,1185,4647,0.38,-0.55,-0.17,91.0,101.9,101.5,.439,11.7,32.5,0.196,.467,15.8,29.8,0.276
944,1998-99,SEA,NBA,50,25,25,.500,12100,1756,3976,1447,3077,309,899,922,1354,676,1422,2098,1087,393,201,765,1047,4743,-1.08,-0.35,-1.43,89.6,105.0,106.2,.481,14.3,31.9,0.232,.489,14.1,31.4,0.213
945,2000-01,ATL,NBA,82,25,57,.305,19730,2876,6668,2543,5735,333,933,1374,1811,1028,2490,3518,1559,634,387,1368,1863,7459,-5.21,-0.34,-5.55,91.9,98.7,104.3,.456,15.5,28.9,0.206,.472,13.8,29.2,0.249
946,2002-03,MIA,NBA,82,25,57,.305,19830,2688,6517,2340,5417,348,1100,1292,1689,948,2464,3412,1501,592,324,1167,1856,7016,-5.05,-0.08,-5.13,87.8,96.7,102.4,.439,13.8,26.8,0.198,.470,14.1,26.1,0.257
947,2003-04,WAS,NBA,82,25,57,.305,19830,2758,6556,2325,5287,433,1269,1579,2211,1115,2392,3507,1537,733,406,1439,1712,7528,-5.63,-0.48,-6.12,92.2,98.8,104.8,.454,16.0,30.7,0.241,.486,14.9,30.5,0.214
948,2009-10,SAC,NBA,82,25,57,.305,19880,3144,6895,2662,5512,482,1383,1430,1969,977,2518,3495,1679,564,366,1226,1827,8200,-4.37,0.31,-4.06,94.0,105.3,109.9,.491,13.6,27.8,0.207,.505,12.6,26.5,0.244
949,2011-12,DET,NBA,66,25,41,.379,15965,2291,5232,1974,4316,317,916,1098,1461,775,1882,2657,1232,460,278,1033,1293,5997,-4.79,-0.40,-5.19,89.2,101.0,106.3,.468,15.0,28.1,0.210,.500,14.2,27.2,0.226
950,2012-13,PHO,NBA,82,25,57,.305,19805,3061,6917,2581,5462,480,1455,1203,1618,959,2454,3413,1855,659,434,1278,1688,7805,-6.46,0.72,-5.75,93.4,101.2,108.1,.477,14.3,27.0,0.174,.512,14.2,28.1,0.208
951,2013-14,BOS,NBA,82,25,57,.305,19730,2996,6883,2421,5154,575,1729,1325,1706,980,2505,3485,1726,584,343,1261,1743,7892,-4.46,-0.51,-4.97,93.3,102.9,107.7,.477,14.2,27.4,0.193,.505,13.4,25.8,0.227
952,2013-14,UTA,NBA,82,25,57,.305,19780,2951,6652,2408,5075,543,1577,1346,1803,904,2477,3381,1664,570,366,1200,1699,7791,-7.17,0.91,-6.27,91.4,103.5,111.3,.484,13.9,25.5,0.202,.518,12.1,25.5,0.227
953,2014-15,IND,NBA,59,25,34,.424,14260,2147,4922,1740,3699,407,1223,963,1265,620,2035,2655,1258,367,263,843,1218,5664,-0.75,-0.38,-1.12,93.3,102.2,103.0,.478,13.3,24.3,0.196,.481,12.1,21.9,0.208
954,2014-15,MIA,NBA,58,25,33,.431,13945,2003,4405,1593,3213,410,1192,1015,1364,515,1713,2228,1170,460,247,858,1143,5431,-3.10,-0.34,-3.45,90.1,103.8,107.2,.501,14.6,23.0,0.230,.509,14.1,25.9,0.212
955,1975-76,CHI,NBA,82,24,58,.293,19780,3106,7499,,,,,1651,2197,1375,2726,4101,1704,627,255,1413,1977,7863,-2.90,0.01,-2.90,100.3,95.2,98.0,.414,14.3,32.9,0.220,.467,15.8,25.4,0.232
956,1977-78,NJN,NBA,82,24,58,.293,19905,3547,8004,,,,,1652,2304,1306,2595,3901,1879,857,631,1774,2312,8746,-5.82,0.21,-5.61,110.9,95.0,100.2,.443,16.4,30.4,0.206,.465,17.4,33.6,0.280
957,1979-80,GSW,NBA,82,24,58,.293,19880,3527,7318,3500,7197,27,121,1412,1914,1155,2437,3592,2028,779,339,1492,2082,8493,-4.39,0.19,-4.20,100.5,102.0,106.3,.484,15.5,31.1,0.193,.498,15.5,30.2,0.273
958,1979-80,UTA,NBA,82,24,58,.293,19805,3382,6817,3323,6632,59,185,1571,1943,967,2359,3326,2005,656,362,1543,2006,8394,-6.01,0.30,-5.71,97.6,104.2,110.4,.500,16.7,29.7,0.230,.500,13.5,32.9,0.237
959,1980-81,NJN,NBA,82,24,58,.293,19805,3477,7314,3443,7176,34,138,1780,2371,1092,2374,3466,2068,750,458,1664,2204,8768,-6.02,0.87,-5.15,105.2,101.0,106.7,.478,16.6,30.4,0.243,.506,16.4,30.8,0.281
960,1984-85,NYK,NBA,82,24,58,.293,19830,3435,7101,3384,6903,51,198,1706,2350,1116,2102,3218,1999,754,267,1458,2398,8627,-4.63,0.55,-4.09,99.5,104.9,109.6,.487,15.2,31.7,0.240,.499,16.5,36.7,0.339
